,bin0,bin1,bin2,bin3,bin4
30.0000,[-2.876  0.092 -0.116 -0.033 -0.057],[-2.757  0.068 -0.033 -0.009 -0.02 ],[-2.699e+00  7.149e-02 -9.208e-03  9.624e-03  1.279e-05],[-2.64   0.068  0.01   0.029  0.019],[-2.529  0.094  0.029  0.146  0.052]
27.9000,[-2.724  0.098 -0.125 -0.036 -0.062],[-2.59   0.074 -0.036 -0.01  -0.021],[-2.524e+00  7.804e-02 -9.935e-03  1.004e-02 -1.396e-04],[-2.454  0.075  0.01   0.031  0.02 ],[-2.325  0.109  0.031  0.157  0.055]
26.1240,[-2.581  0.107 -0.133 -0.038 -0.066],[-2.43   0.081 -0.038 -0.011 -0.023],[-2.353e+00  8.701e-02 -1.092e-02  1.073e-02 -3.101e-04],[-2.273  0.084  0.011  0.033  0.021],[-2.122  0.124  0.033  0.168  0.059]
24.5970,[-2.443  0.118 -0.14  -0.041 -0.07 ],[-2.271  0.091 -0.041 -0.012 -0.024],[-2.184e+00  9.701e-02 -1.172e-02  1.116e-02 -4.834e-04],[-2.089  0.094  0.011  0.035  0.022],[-1.916  0.138  0.035  0.178  0.062]
23.2680,[-2.307  0.132 -0.148 -0.043 -0.074],[-2.114  0.099 -0.043 -0.013 -0.026],[-2.014e+00  1.060e-01 -1.278e-02  1.154e-02 -6.593e-04],[-1.907  0.101  0.012  0.036  0.023],[-1.717  0.148  0.036  0.188  0.066]
22.1000,[-2.174  0.144 -0.155 -0.046 -0.077],[-1.956  0.108 -0.046 -0.014 -0.027],[-1.845e+00  1.131e-01 -1.351e-02  1.200e-02 -8.508e-04],[-1.727  0.105  0.012  0.038  0.024],[-1.527  0.15   0.038  0.197  0.069]
21.0620,[-2.042  0.157 -0.162 -0.048 -0.081],[-1.801  0.115 -0.048 -0.014 -0.029],[-1.681e+00  1.167e-01 -1.423e-02  1.255e-02 -1.032e-03],[-1.554  0.106  0.013  0.04   0.025],[-1.348  0.149  0.04   0.206  0.072]
20.1340,[-1.912  0.169 -0.168 -0.05  -0.085],[-1.653  0.117 -0.05  -0.015 -0.03 ],[-1.523e+00  1.182e-01 -1.499e-02  1.282e-02 -1.213e-03],[-1.394  0.104  0.013  0.041  0.026],[-1.188  0.142  0.041  0.215  0.075]
19.2980,[-1.782  0.182 -0.175 -0.052 -0.088],[-1.508  0.118 -0.052 -0.016 -0.031],[-1.377  0.116 -0.016  0.013 -0.001],[-1.245  0.104  0.013  0.043  0.027],[-1.042  0.14   0.043  0.223  0.077]
18.5400,[-1.656  0.19  -0.18  -0.054 -0.091],[-1.373  0.117 -0.054 -0.016 -0.033],[-1.244  0.112 -0.016  0.014 -0.002],[-1.113  0.094  0.014  0.044  0.028],[-0.926  0.124  0.044  0.23   0.08 ]
17.8480,[-1.54   0.196 -0.186 -0.056 -0.095],[-1.249  0.114 -0.056 -0.017 -0.034],[-1.119  0.11  -0.017  0.014 -0.002],[-0.99   0.093  0.014  0.045  0.028],[-0.813  0.12   0.045  0.237  0.082]
17.2150,[-1.427  0.199 -0.192 -0.058 -0.098],[-1.134  0.113 -0.058 -0.017 -0.035],[-1.007  0.102 -0.017  0.014 -0.002],[-0.885  0.085  0.014  0.046  0.029],[-0.718  0.108  0.046  0.243  0.085]
16.6330,[-1.321  0.2   -0.197 -0.06  -0.101],[-1.031  0.106 -0.06  -0.018 -0.036],[-0.906  0.096 -0.018  0.014 -0.002],[-0.791  0.08   0.014  0.048  0.03 ],[-0.63   0.102  0.048  0.249  0.087]
16.0950,[-1.226  0.198 -0.202 -0.062 -0.104],[-0.937  0.1   -0.062 -0.018 -0.037],[-0.817  0.09  -0.018  0.015 -0.002],[-0.71   0.073  0.015  0.049  0.031],[-0.563  0.095  0.049  0.255  0.089]
15.5960,[-1.137  0.195 -0.207 -0.063 -0.106],[-0.854  0.094 -0.063 -0.019 -0.038],[-0.743  0.085 -0.019  0.015 -0.002],[-0.639  0.07   0.015  0.05   0.031],[-0.497  0.092  0.05   0.26   0.091]
15.1320,[-1.053  0.191 -0.212 -0.065 -0.109],[-0.777  0.092 -0.065 -0.019 -0.039],[-0.669  0.083 -0.019  0.015 -0.002],[-0.57   0.07   0.015  0.051  0.032],[-0.436  0.089  0.051  0.265  0.093]
14.6990,[-0.972  0.19  -0.216 -0.067 -0.111],[-0.705  0.087 -0.067 -0.02  -0.04 ],[-0.6    0.081 -0.02   0.016 -0.002],[-0.505  0.071  0.016  0.052  0.033],[-0.377  0.089  0.052  0.27   0.095]
14.2940,[-0.902  0.184 -0.221 -0.068 -0.114],[-0.644  0.08  -0.068 -0.02  -0.041],[-0.543  0.075 -0.02   0.016 -0.002],[-0.456  0.062  0.016  0.054  0.033],[-0.335  0.082  0.054  0.274  0.096]
13.9140,[-0.838  0.177 -0.225 -0.069 -0.116],[-0.589  0.075 -0.069 -0.021 -0.042],[-0.492  0.077 -0.021  0.016 -0.002],[-0.409  0.067  0.016  0.055  0.034],[-0.292  0.09   0.055  0.279  0.098]
13.5570,[-0.773  0.169 -0.229 -0.071 -0.119],[-0.53   0.078 -0.071 -0.021 -0.043],[-0.437  0.071 -0.021  0.016 -0.003],[-0.357  0.064  0.016  0.056  0.034],[-0.247  0.079  0.056  0.283  0.1  ]
13.2210,[-0.715  0.166 -0.233 -0.072 -0.121],[-0.481  0.073 -0.072 -0.021 -0.044],[-0.388  0.076 -0.021  0.016 -0.003],[-0.313  0.068  0.016  0.057  0.035],[-0.205  0.085  0.057  0.288  0.101]
12.9030,[-0.666  0.161 -0.237 -0.073 -0.123],[-0.44   0.07  -0.073 -0.022 -0.044],[-0.351  0.07  -0.022  0.017 -0.003],[-0.277  0.064  0.017  0.058  0.035],[-0.169  0.085  0.058  0.29   0.103]
12.6030,[-0.621  0.155 -0.24  -0.074 -0.125],[-0.403  0.07  -0.074 -0.022 -0.045],[-0.317  0.067 -0.022  0.017 -0.003],[-0.244  0.066  0.017  0.058  0.036],[-0.141  0.085  0.058  0.295  0.104]
12.3180,[-0.578  0.151 -0.244 -0.076 -0.127],[-0.369  0.066 -0.076 -0.022 -0.046],[-0.288  0.063 -0.022  0.017 -0.003],[-0.218  0.062  0.017  0.059  0.036],[-0.115  0.085  0.059  0.299  0.105]
12.0480,[-0.533  0.147 -0.247 -0.077 -0.129],[-0.328  0.067 -0.077 -0.023 -0.047],[-0.249  0.067 -0.023  0.017 -0.003],[-0.179  0.064  0.017  0.06   0.037],[-0.081  0.081  0.06   0.304  0.107]
11.7910,[-0.494  0.142 -0.251 -0.078 -0.131],[-0.299  0.07  -0.078 -0.023 -0.048],[-0.22   0.067 -0.023  0.017 -0.003],[-0.152  0.064  0.017  0.06   0.037],[-0.053  0.083  0.06   0.306  0.108]
11.5460,[-0.461  0.14  -0.254 -0.079 -0.133],[-0.267  0.067 -0.079 -0.023 -0.048],[-0.192  0.07  -0.023  0.017 -0.003],[-0.126  0.066  0.017  0.061  0.038],[-0.025  0.085  0.061  0.309  0.109]
11.3130,[-0.423  0.137 -0.257 -0.08  -0.135],[-0.236  0.071 -0.08  -0.023 -0.049],[-0.164  0.068 -0.023  0.017 -0.003],[-0.099  0.068  0.017  0.062  0.038],[-0.002  0.087  0.062  0.315  0.11 ]
11.0900,[-0.397  0.131 -0.26  -0.082 -0.137],[-0.215  0.066 -0.082 -0.024 -0.05 ],[-0.142  0.068 -0.024  0.018 -0.003],[-0.079  0.066  0.018  0.062  0.038],[0.014 0.081 0.062 0.316 0.112]
10.8770,[-0.359  0.138 -0.263 -0.083 -0.138],[-0.196  0.063 -0.083 -0.024 -0.05 ],[-0.126  0.066 -0.024  0.018 -0.003],[-0.063  0.064  0.018  0.063  0.039],[0.033 0.077 0.063 0.318 0.113]
10.6730,[-0.337  0.125 -0.266 -0.084 -0.14 ],[-0.167  0.065 -0.084 -0.024 -0.051],[-0.095  0.072 -0.024  0.018 -0.003],[-0.031  0.067  0.018  0.064  0.039],[0.07  0.084 0.064 0.323 0.114]
10.4780,[-0.313  0.121 -0.269 -0.085 -0.142],[-0.143  0.063 -0.085 -0.024 -0.052],[-0.074  0.069 -0.024  0.018 -0.003],[-0.016  0.069  0.018  0.064  0.04 ],[0.082 0.088 0.064 0.326 0.115]
10.2900,[-0.286  0.121 -0.272 -0.086 -0.144],[-0.118  0.07  -0.086 -0.025 -0.052],[-0.049  0.077 -0.025  0.018 -0.003],[0.009 0.069 0.018 0.065 0.04 ],[0.11  0.094 0.065 0.334 0.116]
10.1100,[-0.261  0.117 -0.275 -0.087 -0.146],[-0.097  0.069 -0.087 -0.025 -0.053],[-0.032  0.073 -0.025  0.018 -0.004],[0.027 0.07  0.018 0.065 0.04 ],[0.121 0.088 0.065 0.334 0.117]
9.9380,[-0.24   0.118 -0.278 -0.088 -0.147],[-0.082  0.068 -0.088 -0.025 -0.054],[-0.016  0.073 -0.025  0.018 -0.004],[0.045 0.072 0.018 0.066 0.041],[0.141 0.094 0.066 0.339 0.119]
9.7710,[-0.225  0.113 -0.281 -0.089 -0.149],[-0.074  0.066 -0.089 -0.026 -0.054],[-0.006  0.076 -0.026  0.018 -0.004],[0.056 0.074 0.018 0.067 0.041],[0.154 0.096 0.067 0.343 0.12 ]
9.6110,[-0.19   0.12  -0.283 -0.09  -0.151],[-0.046  0.065 -0.09  -0.026 -0.055],[ 0.021  0.074 -0.026  0.018 -0.004],[0.078 0.068 0.018 0.067 0.041],[0.181 0.084 0.067 0.345 0.121]
9.4570,[-0.171  0.117 -0.286 -0.091 -0.152],[-0.026  0.069 -0.091 -0.026 -0.056],[ 0.034  0.072 -0.026  0.018 -0.004],[0.092 0.069 0.018 0.067 0.042],[0.187 0.085 0.067 0.346 0.122]
9.3080,[-0.167  0.104 -0.289 -0.093 -0.154],[-0.016  0.069 -0.093 -0.027 -0.056],[ 0.05   0.073 -0.027  0.019 -0.004],[0.115 0.075 0.019 0.068 0.042],[0.202 0.082 0.068 0.35  0.123]
9.1640,[-0.141  0.11  -0.292 -0.095 -0.155],[ 0.005  0.075 -0.095 -0.027 -0.057],[ 0.07   0.077 -0.027  0.019 -0.004],[0.129 0.074 0.019 0.068 0.042],[0.222 0.088 0.068 0.355 0.124]
9.0260,[-0.13   0.103 -0.294 -0.096 -0.157],[ 0.015  0.074 -0.096 -0.027 -0.058],[ 0.08   0.078 -0.027  0.019 -0.004],[0.143 0.076 0.019 0.069 0.042],[0.235 0.092 0.069 0.36  0.125]
8.8920,[-0.106  0.111 -0.297 -0.097 -0.159],[ 0.039  0.072 -0.097 -0.028 -0.059],[ 0.106  0.076 -0.028  0.019 -0.004],[0.165 0.076 0.019 0.07  0.043],[0.25  0.085 0.07  0.363 0.126]
8.7620,[-0.102  0.1   -0.3   -0.097 -0.16 ],[ 0.042  0.073 -0.097 -0.028 -0.059],[ 0.106  0.075 -0.028  0.019 -0.004],[0.17  0.079 0.019 0.07  0.043],[0.268 0.092 0.07  0.366 0.127]
8.6360,[-0.081  0.099 -0.302 -0.098 -0.162],[ 0.057  0.069 -0.098 -0.029 -0.06 ],[ 0.125  0.075 -0.029  0.019 -0.005],[0.184 0.075 0.019 0.07  0.043],[0.286 0.089 0.07  0.373 0.128]
8.5150,[-0.064  0.102 -0.305 -0.099 -0.163],[ 0.075  0.076 -0.099 -0.029 -0.061],[ 0.141  0.076 -0.029  0.019 -0.005],[0.204 0.073 0.019 0.071 0.044],[0.299 0.085 0.071 0.378 0.129]
8.3970,[-0.057  0.099 -0.308 -0.1   -0.165],[ 0.086  0.077 -0.1   -0.029 -0.061],[ 0.148  0.078 -0.029  0.019 -0.005],[0.21  0.081 0.019 0.071 0.044],[0.305 0.091 0.071 0.385 0.13 ]
8.2830,[-0.039  0.103 -0.31  -0.101 -0.166],[ 0.101  0.076 -0.101 -0.029 -0.062],[ 0.165  0.076 -0.029  0.019 -0.005],[0.227 0.074 0.019 0.072 0.044],[0.317 0.084 0.072 0.389 0.131]
8.1720,[-0.03   0.1   -0.313 -0.102 -0.168],[ 0.11   0.074 -0.102 -0.029 -0.062],[ 0.175  0.081 -0.029  0.018 -0.005],[0.234 0.073 0.018 0.072 0.044],[0.333 0.089 0.072 0.393 0.132]
8.0640,[-0.011  0.1   -0.315 -0.103 -0.169],[ 0.121  0.07  -0.103 -0.03  -0.063],[ 0.191  0.076 -0.03   0.019 -0.005],[0.253 0.072 0.019 0.073 0.045],[0.34  0.084 0.073 0.391 0.133]
7.9600,[ 0.005  0.102 -0.317 -0.104 -0.171],[ 0.136  0.071 -0.104 -0.03  -0.064],[ 0.202  0.071 -0.03   0.018 -0.005],[0.263 0.068 0.018 0.074 0.045],[0.352 0.08  0.074 0.407 0.134]
7.8590,[ 0.01   0.098 -0.32  -0.105 -0.172],[ 0.145  0.081 -0.105 -0.03  -0.065],[ 0.214  0.08  -0.03   0.018 -0.005],[0.269 0.08  0.018 0.075 0.045],[0.363 0.086 0.075 0.396 0.135]
7.7600,[ 0.019  0.093 -0.322 -0.106 -0.173],[ 0.152  0.074 -0.106 -0.031 -0.065],[ 0.218  0.075 -0.031  0.019 -0.006],[0.281 0.076 0.019 0.075 0.046],[0.371 0.079 0.075 0.405 0.136]
7.6640,[ 0.041  0.102 -0.325 -0.107 -0.175],[ 0.163  0.075 -0.107 -0.032 -0.066],[ 0.229  0.075 -0.032  0.019 -0.006],[0.291 0.073 0.019 0.075 0.046],[0.386 0.085 0.075 0.411 0.137]
7.5700,[ 0.042  0.096 -0.328 -0.108 -0.176],[ 0.178  0.079 -0.108 -0.032 -0.067],[ 0.244  0.082 -0.032  0.019 -0.006],[0.302 0.08  0.019 0.076 0.046],[0.388 0.084 0.076 0.41  0.138]
7.4800,[ 0.051  0.093 -0.331 -0.108 -0.178],[ 0.184  0.081 -0.108 -0.032 -0.067],[ 0.251  0.078 -0.032  0.019 -0.006],[0.309 0.075 0.019 0.076 0.046],[0.402 0.087 0.076 0.438 0.14 ]
7.3910,[ 0.064  0.093 -0.335 -0.109 -0.179],[ 0.196  0.078 -0.109 -0.033 -0.068],[ 0.268  0.085 -0.033  0.019 -0.006],[0.322 0.075 0.019 0.077 0.047],[0.41  0.083 0.077 0.416 0.14 ]
7.3050,[ 0.066  0.093 -0.338 -0.111 -0.181],[ 0.203  0.081 -0.111 -0.033 -0.069],[ 0.273  0.083 -0.033  0.02  -0.006],[0.328 0.076 0.02  0.077 0.047],[0.425 0.077 0.077 0.419 0.141]
