# z	mean C
43.619	1.069
38.919	1.089
31.137	1.152
30.000	1.167
27.900	1.203
26.124	1.246
24.597	1.301
23.268	1.368
22.100	1.452
21.062	1.554
20.134	1.675
19.298	1.819
18.540	1.972
17.848	2.156
17.215	2.349
16.633	2.563
16.095	2.781
15.596	3.010
15.132	3.267
14.699	3.544
14.294	3.800
13.914	4.077
13.557	4.396
13.221	4.737
12.903	5.026
12.603	5.321
12.318	5.606
12.048	6.009
11.791	6.319
11.546	6.685
11.313	7.067
11.090	7.371
10.877	7.656
10.673	8.197
10.478	8.536
10.290	9.036
10.110	9.373
9.938	9.836
9.771	10.099
9.611	10.708
9.457	11.058
9.308	11.476
9.164	12.069
9.026	12.422
8.892	13.073
8.762	13.414
8.636	13.995
8.515	14.610
8.397	14.960
8.283	15.542
8.172	16.046
8.064	16.605
7.960	17.199
7.859	17.813
7.760	18.068
7.664	18.948
7.570	19.349
7.480	19.916
7.391	20.694
7.305	21.334
