# z	mean C
43.619	1.070
38.919	1.091
31.137	1.154
30.000	1.169
27.900	1.206
26.124	1.251
24.597	1.307
23.268	1.376
22.100	1.462
21.062	1.568
20.134	1.692
19.298	1.841
18.540	2.000
17.848	2.189
17.215	2.390
16.633	2.611
16.095	2.836
15.596	3.074
15.132	3.340
14.699	3.635
14.294	3.894
13.914	4.183
13.557	4.516
13.221	4.865
12.903	5.175
12.603	5.482
12.318	5.765
12.048	6.179
11.791	6.533
11.546	6.912
11.313	7.314
11.090	7.601
10.877	7.913
10.673	8.491
10.478	8.831
10.290	9.407
10.110	9.748
9.938	10.200
9.771	10.489
9.611	11.145
9.457	11.494
9.308	11.941
9.164	12.583
9.026	13.010
8.892	13.723
8.762	14.060
8.636	14.688
8.515	15.369
8.397	15.738
8.283	16.367
8.172	16.931
8.064	17.506
7.960	18.109
7.859	18.772
7.760	19.113
7.664	19.966
7.570	20.531
7.480	21.172
7.391	21.912
7.305	22.487
