,bin0,bin1,bin2,bin3,bin4
43.6190,"[-3.6515460259280315, 0.0781877918438237, -0.08136288290203211, -0.022500815221620007, -0.03967642514397655]","[-3.574989494929101, 0.05826561047889528, -0.022500815221620007, -0.005916364528543346, -0.013129949127784942]","[-3.53685436538351, 0.06295308122987271, -0.005916364528543346, 0.007205525170849971, 0.00044782156958484174]","[-3.498504896591535, 0.05754356152282625, 0.007205525170849971, 0.020765036089735546, 0.013288524435907157]","[-3.432838455529997, 0.06826501292227437, 0.020765036089735546, 0.10049785477101728, 0.03623615266063527]"
38.9190,"[-3.4122348984096416, 0.08070788464153719, -0.09048096521905181, -0.02524839144732879, -0.044417605818733066]","[-3.3260591686836016, 0.05837915559167208, -0.02524839144732879, -0.006663004591887896, -0.014809456867230378]","[-3.2828351346305196, 0.06344686916059236, -0.006663004591887896, 0.00800778873489847, 0.0003790518679941108]","[-3.241152167143011, 0.058295154082683945, 0.00800778873489847, 0.023047078594813517, 0.014735031471796311]","[-3.166321083788402, 0.0710402239069539, 0.023047078594813517, 0.11270945692309713, 0.04044038576862483]"
31.1370,"[-2.953487698807412, 0.08914491229134461, -0.11217491033218997, -0.031606336280274296, -0.05538137599887813]","[-2.840600582720161, 0.06602997092823602, -0.031606336280274296, -0.008789522014108084, -0.018791611493307294]","[-2.784574989651968, 0.06925242896867592, -0.008789522014108084, 0.00942475449989495, 8.484748931252925e-05]","[-2.729798636577562, 0.06456774308791519, 0.00942475449989495, 0.028280024258212546, 0.01796009986149093]","[-2.6261897730203816, 0.08752512726068598, 0.028280024258212546, 0.14112661306268148, 0.0500273648469382]"
30.0000,"[-2.876399621641241, 0.09187256365848491, -0.11625639074568545, -0.032919522311256624, -0.057453784363554104]","[-2.7567504703773134, 0.06848348496238837, -0.032919522311256624, -0.009208129842447852, -0.01956057911970359]","[-2.6987837182699588, 0.07149370440023847, -0.009208129842447852, 0.00962433635007792, 1.27869958185333e-05]","[-2.6396442174906496, 0.06759741902132889, 0.00962433635007792, 0.02926993191297806, 0.018550866913579385]","[-2.52896494807083, 0.09357133791412814, 0.02926993191297806, 0.1464958824333346, 0.051818897410620346]"
27.9000,"[-2.7241503154649322, 0.09842796503441173, -0.12464639297156437, -0.035565793596698744, -0.06170791676062365]","[-2.5904896872505194, 0.07361597355521762, -0.035565793596698744, -0.009935192117433678, -0.02115273296735791]","[-2.5236941068505696, 0.07804165382658207, -0.009935192117433678, 0.010040869847278628, -0.00013957717270856367]","[-2.454465805754693, 0.07480571384180112, 0.010040869847278628, 0.031077875444604382, 0.019751301925104957]","[-2.325361031539659, 0.10852726405702914, 0.031077875444604382, 0.15749125691054808, 0.055489139523747594]"
26.1240,"[-2.58106295713551, 0.1070273943320724, -0.1327305083990066, -0.03837032150665585, -0.06583647264693504]","[-2.4299017833415455, 0.08105033273546668, -0.03837032150665585, -0.010921844831768213, -0.022715098986878787]","[-2.353356657971013, 0.08700724331981088, -0.010921844831768213, 0.010731989908007456, -0.0003101168231986243]","[-2.2729723742713546, 0.08380730810578184, 0.010731989908007456, 0.032766373637559465, 0.020888213813044704]","[-2.12160969673294, 0.12393990732259504, 0.032766373637559465, 0.16807074562411053, 0.059010920910432196]"
24.5970,"[-2.4434351247236274, 0.11787565921619964, -0.14045193557198926, -0.04086820416084071, -0.06983589578954996]","[-2.270644693131304, 0.09138546686402539, -0.04086820416084071, -0.011720939987035628, -0.024242851784689552]","[-2.183753706505427, 0.09700667890513177, -0.011720939987035628, 0.011156751678687241, -0.0004834067424307523]","[-2.0891681498319574, 0.09351742518167433, 0.011156751678687241, 0.03452056577299984, 0.021977944358221292]","[-1.916225431669566, 0.13769839783455415, 0.03452056577299984, 0.17823189399614373, 0.062403519921881756]"
23.2680,"[-2.3070747722685967, 0.13176962724066227, -0.1478353196881596, -0.04336228513076173, -0.073717142635403]","[-2.1137564896893792, 0.09884989543896826, -0.04336228513076173, -0.012782716668676803, -0.025734867263784968]","[-2.014120904771135, 0.10601330578075316, -0.012782716668676803, 0.01153702753021805, -0.0006593042378969802]","[-1.9071382811720532, 0.10101853052635451, 0.01153702753021805, 0.03623517534683137, 0.023024748309151934]","[-1.7172257809458107, 0.14814184745855158, 0.03623517534683137, 0.18802937972151523, 0.0656661499153712]"
22.1000,"[-2.174186395083163, 0.1437583426003719, -0.15492922832590877, -0.0457955341303264, -0.07749698477296661]","[-1.9561051198502077, 0.10773267486393055, -0.0457955341303264, -0.013509432682133352, -0.027195445429891326]","[-1.8452757386626717, 0.11306346547374133, -0.013509432682133352, 0.012001503391327604, -0.00085081612256387]","[-1.7272095760044321, 0.1046571136505075, 0.012001503391327604, 0.0379519492423652, 0.02402029155306929]","[-1.527464553132233, 0.14975874047672197, 0.0379519492423652, 0.19731825484478763, 0.06879035719925587]"
21.0620,"[-2.0420019928952833, 0.15737319897819624, -0.16174499776244253, -0.04776303406766106, -0.08115302173175301]","[-1.8009304099258816, 0.11480085288556867, -0.04776303406766106, -0.014228426360289051, -0.028605130494274423]","[-1.680833130576604, 0.11669374651661006, -0.014228426360289051, 0.012546823961092652, -0.0010319616178002158]","[-1.554053914936282, 0.10603519789792488, 0.012546823961092652, 0.039534676156264235, 0.024980139562081703]","[-1.3483949555905754, 0.14872147788392076, 0.039534676156264235, 0.20621417973240147, 0.07178964158329747]"
20.1340,"[-1.9122072897271654, 0.16867750110517202, -0.1682740044687644, -0.04993038937588456, -0.08469472190567007]","[-1.6525636551407734, 0.11704392071521787, -0.04993038937588456, -0.014988032957563497, -0.02997748962142757]","[-1.5234054821155738, 0.11817911518729593, -0.014988032957563497, 0.012816862287604164, -0.0012129467954476282]","[-1.3937902907566007, 0.10416544539158284, 0.012816862287604164, 0.040993068762365054, 0.025895769084264792]","[-1.1882955632130987, 0.14170321959128235, 0.040993068762365054, 0.21462334100671845, 0.07464966381567445]"
19.2980,"[-1.7820133873904864, 0.18164265080037187, -0.1745142553070353, -0.05242759525998619, -0.08811582709249696]","[-1.5077017974238218, 0.117868647754255, -0.05242759525998619, -0.015503458646434662, -0.03129860776545154]","[-1.3773032573966086, 0.11589211272854236, -0.015503458646434662, 0.013230716567480434, -0.0013816510282670387]","[-1.2445680749130275, 0.10377520933636704, 0.013230716567480434, 0.042600101087888156, 0.026777078391090444]","[-1.0423482760318936, 0.14018844299377792, 0.042600101087888156, 0.22256075303538853, 0.07738270415048175]"
18.5400,"[-1.6559591076082507, 0.1897866086216378, -0.18048140351791817, -0.054219737393731454, -0.09142203842869401]","[-1.373446093767966, 0.1173478500016807, -0.054219737393731454, -0.016122839225337374, -0.0325705987856242]","[-1.2438582833277052, 0.11230585107446907, -0.016122839225337374, 0.013570366809086663, -0.0015380886007307008]","[-1.1130642523933523, 0.09436464107337769, 0.013570366809086663, 0.04386131983125835, 0.027615597922606296]","[-0.926104419707755, 0.12403943269623596, 0.04386131983125835, 0.23004894573512932, 0.07996484750256899]"
17.8480,"[-1.540227248280206, 0.1956997928302562, -0.1862047410716861, -0.056090269106659825, -0.09461501700107186]","[-1.248501825538592, 0.11449510330681545, -0.056090269106659825, -0.016811782621154243, -0.03379664577216477]","[-1.118543731946918, 0.10955342138728784, -0.016811782621154243, 0.013887296132699465, -0.0016781006345967272]","[-0.9897942137292117, 0.0932740755869116, 0.013887296132699465, 0.04525773345406949, 0.028423475786213553]","[-0.8127878980504322, 0.11957820613536234, 0.04525773345406949, 0.23693923263242608, 0.08243089523995696]"
17.2150,"[-1.4269997027255403, 0.1991217629972631, -0.19172188392338366, -0.05792910730536256, -0.09768587070788158]","[-1.1341682439973175, 0.11251436860955877, -0.05792910730536256, -0.017375798442513576, -0.03496895469626079]","[-1.0071749448608334, 0.101697530017781, -0.017375798442513576, 0.013938033357756549, -0.0018096797062196034]","[-0.8849514102716896, 0.08512052669796681, 0.013938033357756549, 0.046406627781982714, 0.029194809195411307]","[-0.718303821705407, 0.1083564984922163, 0.046406627781982714, 0.2434374559641858, 0.08476872670848387]"
16.6330,"[-1.3211933976027055, 0.20006303648384977, -0.1970655421875561, -0.06003114509594497, -0.10064936605302152]","[-1.0312480761528924, 0.10556559366757544, -0.06003114509594497, -0.017942371372118807, -0.036091254336977234]","[-0.906401744423378, 0.09585934300370329, -0.017942371372118807, 0.014280456089039478, -0.0019324547322383191]","[-0.7911412567934835, 0.0796369373597354, 0.014280456089039478, 0.04776391201750487, 0.029939434762979177]","[-0.6303229744274652, 0.10183829530615546, 0.04776391201750487, 0.24941855328389903, 0.08698471966169721]"
