# z	a	b	c	err_a	err_b	err_c
43.619	-9.7905e-03	8.3627e-02	2.9239e-02	3.4598e-02	1.4055e-03	4.5620e-05
38.919	2.2694e-02	1.0831e-01	3.7684e-02	3.5899e-02	1.6292e-03	5.9119e-05
31.137	1.9687e-01	1.9234e-01	6.2123e-02	4.2538e-02	2.3956e-03	1.0801e-04
30.000	2.6329e-01	2.1589e-01	6.7754e-02	4.4996e-02	2.6264e-03	1.2276e-04
27.900	4.5177e-01	2.7829e-01	8.0847e-02	5.1969e-02	3.2516e-03	1.6303e-04
26.124	7.0468e-01	3.6073e-01	9.6061e-02	6.1130e-02	4.0721e-03	2.1751e-04
24.597	9.6422e-01	4.6629e-01	1.1425e-01	7.2424e-02	5.1065e-03	2.8895e-04
23.268	1.2084e+00	5.8862e-01	1.3572e-01	8.4119e-02	6.2464e-03	3.7260e-04
22.100	1.3135e+00	7.2143e-01	1.6118e-01	9.4198e-02	7.3347e-03	4.5923e-04
21.062	1.3543e+00	8.6327e-01	1.9048e-01	1.0283e-01	8.3620e-03	5.4743e-04
20.134	1.2544e+00	9.9340e-01	2.2293e-01	1.0942e-01	9.2597e-03	6.3162e-04
19.298	1.1424e+00	1.1201e+00	2.5853e-01	1.1783e-01	1.0345e-02	7.3292e-04
18.540	7.4874e-01	1.1952e+00	2.9525e-01	1.1409e-01	1.0359e-02	7.6001e-04
17.848	4.4324e-01	1.2873e+00	3.3440e-01	1.1951e-01	1.1192e-02	8.4826e-04
17.215	9.8753e-02	1.3404e+00	3.7312e-01	1.1587e-01	1.1168e-02	8.7220e-04
16.633	-1.2945e-01	1.3922e+00	4.1191e-01	1.1372e-01	1.1254e-02	9.0378e-04
16.095	-5.1429e-01	1.4041e+00	4.4921e-01	1.1027e-01	1.1182e-02	9.2142e-04
15.596	-5.7499e-01	1.4256e+00	4.8411e-01	1.0844e-01	1.1253e-02	9.4973e-04
15.132	-7.7884e-01	1.4392e+00	5.2071e-01	1.1077e-01	1.1742e-02	1.0136e-03
14.699	-9.0259e-01	1.4554e+00	5.5765e-01	1.1327e-01	1.2251e-02	1.0800e-03
14.294	-1.0980e+00	1.4301e+00	5.8919e-01	1.0426e-01	1.1485e-02	1.0325e-03
13.914	-9.6342e-01	1.4350e+00	6.1882e-01	1.1268e-01	1.2636e-02	1.1570e-03
13.557	-1.2053e+00	1.4201e+00	6.5397e-01	1.0703e-01	1.2201e-02	1.1371e-03
13.221	-1.1298e+00	1.4307e+00	6.8528e-01	1.1344e-01	1.3146e-02	1.2458e-03
12.903	-1.1340e+00	1.4262e+00	7.1225e-01	1.0935e-01	1.2858e-02	1.2378e-03
12.603	-9.8564e-01	1.4182e+00	7.3630e-01	1.0807e-01	1.2905e-02	1.2611e-03
12.318	-8.4226e-01	1.3945e+00	7.5767e-01	1.0463e-01	1.2672e-02	1.2559e-03
12.048	-9.2427e-01	1.4000e+00	7.8818e-01	1.0489e-01	1.2884e-02	1.2949e-03
11.791	-9.4177e-01	1.3848e+00	8.1218e-01	1.1001e-01	1.3674e-02	1.3924e-03
11.546	-7.7321e-01	1.3988e+00	8.3497e-01	1.1124e-01	1.4013e-02	1.4453e-03
11.313	-7.1967e-01	1.3802e+00	8.5881e-01	1.1501e-01	1.4673e-02	1.5321e-03
11.090	-8.4436e-01	1.3557e+00	8.7728e-01	1.0876e-01	1.4024e-02	1.4814e-03
10.877	-5.9208e-01	1.3051e+00	8.9321e-01	1.1429e-01	1.4897e-02	1.5916e-03
10.673	-5.1377e-01	1.3939e+00	9.2126e-01	1.1233e-01	1.4824e-02	1.6035e-03
10.478	-4.9301e-01	1.3661e+00	9.3815e-01	1.1260e-01	1.5024e-02	1.6427e-03
10.290	-2.3660e-01	1.4064e+00	9.6149e-01	1.2010e-01	1.6233e-02	1.7948e-03
10.110	-4.7017e-01	1.3559e+00	9.8019e-01	1.1597e-01	1.5810e-02	1.7652e-03
9.938	-2.1931e-01	1.3766e+00	9.9625e-01	1.2066e-01	1.6639e-02	1.8777e-03
9.771	-6.4869e-02	1.3820e+00	1.0061e+00	1.2199e-01	1.6991e-02	1.9358e-03
9.611	7.9861e-03	1.3638e+00	1.0332e+00	1.1709e-01	1.6461e-02	1.8955e-03
9.457	-2.5021e-01	1.3168e+00	1.0494e+00	1.1763e-01	1.6673e-02	1.9365e-03
9.308	-3.8905e-01	1.3614e+00	1.0663e+00	1.1426e-01	1.6351e-02	1.9176e-03
9.164	-3.1764e-01	1.3549e+00	1.0871e+00	1.2179e-01	1.7614e-02	2.0861e-03
9.026	-6.0143e-02	1.3801e+00	1.0977e+00	1.2234e-01	1.7871e-02	2.1356e-03
8.892	-4.4759e-01	1.3447e+00	1.1257e+00	1.2078e-01	1.7792e-02	2.1458e-03
8.762	-3.3633e-02	1.4059e+00	1.1297e+00	1.2201e-01	1.8156e-02	2.2111e-03
8.636	1.4656e-01	1.4154e+00	1.1471e+00	1.1605e-01	1.7443e-02	2.1435e-03
8.515	-1.3269e-02	1.4062e+00	1.1682e+00	1.1750e-01	1.7803e-02	2.2068e-03
8.397	-7.1337e-03	1.3955e+00	1.1765e+00	1.2328e-01	1.8892e-02	2.3610e-03
8.283	-7.0044e-02	1.3848e+00	1.1960e+00	1.1569e-01	1.7865e-02	2.2517e-03
8.172	1.3487e-01	1.4220e+00	1.2064e+00	1.1667e-01	1.8180e-02	2.3118e-03
8.064	-1.5115e-01	1.3746e+00	1.2262e+00	1.1269e-01	1.7663e-02	2.2636e-03
7.960	3.5974e-02	1.3769e+00	1.2395e+00	1.0588e-01	1.6801e-02	2.1703e-03
7.859	-5.3955e-02	1.3914e+00	1.2524e+00	1.1978e-01	1.9064e-02	2.4833e-03
7.760	-3.1306e-02	1.3889e+00	1.2619e+00	1.0892e-01	1.7488e-02	2.2963e-03
7.664	1.7385e-01	1.3861e+00	1.2768e+00	1.1311e-01	1.8325e-02	2.4257e-03
7.570	-2.4002e-01	1.3622e+00	1.2932e+00	1.1792e-01	1.9217e-02	2.5617e-03
