,bin0,bin1,bin2,bin3
43.6190,"[-3.578701423409033, 0.06195649978843947, -0.05819823702181552, -0.010215448205290715, -0.026124926547870762]","[-3.5196752150595, 0.041825116074007664, -0.010215448205290715, 0.0022275492183111605, -0.0035863981266760566]","[-3.485924182178324, 0.040888703255036296, 0.0022275492183111605, 0.012755474362407562, 0.007321949382760664]","[-3.4310605674984513, 0.051610460469882866, 0.012755474362407562, 0.08067455132829042, 0.024243019724521038]"
38.9190,"[-3.333985292817265, 0.06515533919751954, -0.06496527383830022, -0.011381308437283069, -0.02923307164301417]","[-3.266994163826638, 0.04229829909140873, -0.011381308437283069, 0.002403518612961315, -0.004068695597073224]","[-3.22944147480612, 0.04141800511781005, 0.002403518612961315, 0.014332920333920234, 0.008130723291237677]","[-3.168208045722176, 0.05393240436265158, 0.014332920333920234, 0.09038309941564346, 0.02708162078327753]"
31.1370,"[-2.8583084164872004, 0.07715665272913048, -0.08046630717851073, -0.014422845512357983, -0.03641732165757992]","[-2.7687772656260865, 0.0471875980381113, -0.014422845512357983, 0.002774959080431151, -0.005247350771780435]","[-2.71946554677304, 0.04662921957455528, 0.002774959080431151, 0.01782583138149372, 0.009934098714207869]","[-2.6378665535554693, 0.06596514911777455, 0.01782583138149372, 0.11282618131423129, 0.03356931937272437]"
30.0000,"[-2.777517024967894, 0.08024581393929446, -0.08337278409927264, -0.015020825087343264, -0.03777395881888689]","[-2.682419900014866, 0.04890354364842684, -0.015020825087343264, 0.002909685825090768, -0.005478459825458574]","[-2.629551752775521, 0.04886556436641688, 0.002909685825090768, 0.01841706291101413, 0.010264996233562855]","[-2.542391734254127, 0.07013638308952108, 0.01841706291101413, 0.11706437312190054, 0.034784360636693455]"
27.9000,"[-2.615456669927153, 0.08818678785809829, -0.08933786450833442, -0.016074804178586307, -0.040555987941904376]","[-2.5078100993091184, 0.05383092400086782, -0.016074804178586307, 0.0030446861215964976, -0.005956359228015207]","[-2.44471238068799, 0.05522209748225345, 0.0030446861215964976, 0.019624635259760746, 0.0109440537834941]","[-2.3439954658320565, 0.08026501114094765, 0.019624635259760746, 0.1257440632277818, 0.037278253438309886]"
26.1240,"[-2.459966791573498, 0.09841768222302283, -0.09509850182700955, -0.017267006554531387, -0.043256639053268764]","[-2.3361380816855863, 0.060447887585443984, -0.017267006554531387, 0.0032758705670665592, -0.006435071021176728]","[-2.262623731899844, 0.0625134310057969, 0.0032758705670665592, 0.02077209167508512, 0.011585657061073057]","[-2.1459057489363746, 0.09226272142076958, 0.02077209167508512, 0.1341282883277841, 0.039676070025285025]"
24.5970,"[-2.3077338499352478, 0.11108765345410206, -0.10070167961104813, -0.0184773717036198, -0.04587188022428619]","[-2.163952449244313, 0.0681022179214958, -0.0184773717036198, 0.0035070065887556085, -0.006903552294957874]","[-2.0793457766369645, 0.06993182783155931, 0.0035070065887556085, 0.02184942622776984, 0.012202005035089523]","[-1.9463166263768312, 0.102063116128846, 0.02184942622776984, 0.14222722890258965, 0.041995051211797155]"
23.2680,"[-2.1565677590155357, 0.12355657692317852, -0.10619144529501708, -0.019715185096397594, -0.048406509392249567]","[-1.992607597470741, 0.07512653117760128, -0.019715185096397594, 0.0036898555913897645, -0.0073611497162570415]","[-1.897308931356167, 0.07618463503542744, 0.0036898555913897645, 0.02291378387569192, 0.012793614581582503]","[-1.750093206733398, 0.11023120120855924, 0.02291378387569192, 0.15003934576995473, 0.044234456854827464]"
22.1000,"[-2.0057694824170476, 0.13671458090867078, -0.11152902774497589, -0.020969365928702174, -0.05087561496369852]","[-1.8225442000305836, 0.07953852273732391, -0.020969365928702174, 0.0037485369665669816, -0.00781916830601408]","[-1.7192658924518225, 0.0786807599862452, 0.0037485369665669816, 0.023891061507765873, 0.013352391288233826]","[-1.562665210712779, 0.11372681395185358, 0.023891061507765873, 0.15763449224908588, 0.04638290355833859]"
21.0620,"[-1.8542722968444405, 0.15055910725863814, -0.11669549967479054, -0.022194984087669765, -0.05326004021796295]","[-1.6586262428479568, 0.08203119456815364, -0.022194984087669765, 0.003875041231338316, -0.008255447063927746]","[-1.547292825170541, 0.07952298394738552, 0.003875041231338316, 0.024935778867133763, 0.013900132337646712]","[-1.3852219907849797, 0.11465739692857314, 0.024935778867133763, 0.16490103904216505, 0.04845134419816798]"
20.1340,"[-1.7099327217441298, 0.16026651549644122, -0.12170194306255809, -0.023396833943971632, -0.05557324985450139]","[-1.5024329467788886, 0.08463876041219004, -0.023396833943971632, 0.004133288116987379, -0.0086810766726266]","[-1.3880992856171184, 0.0792886305813906, 0.004133288116987379, 0.026133260014322805, 0.014425149155273905]","[-1.227742960653092, 0.11187117314249062, 0.026133260014322805, 0.17181521743011866, 0.05042568401876224]"
19.2980,"[-1.5706964958168794, 0.16639646480562742, -0.1265392943667129, -0.024559341447039418, -0.05780356046006414]","[-1.3548158662570642, 0.08316388390274441, -0.024559341447039418, 0.004278055937109212, -0.009086858351049073]","[-1.2428315514565986, 0.07551242822060296, 0.004278055937109212, 0.027182043713534224, 0.014931727198837015]","[-1.0800124841412, 0.11207159816713685, 0.027182043713534224, 0.17836882760255868, 0.052320073338306995]"
