# z	a	b	c	err_a	err_b	err_c
43.619	-3.5216e-02	8.8709e-02	3.0131e-02	8.3457e-02	2.7930e-03	6.5841e-05
38.919	-1.1315e-02	1.1458e-01	3.8857e-02	8.6612e-02	3.2442e-03	8.5484e-05
31.137	1.3251e-01	2.0320e-01	6.4289e-02	1.0288e-01	4.8008e-03	1.5710e-04
30.000	1.9768e-01	2.2856e-01	7.0201e-02	1.0890e-01	5.2704e-03	1.7879e-04
27.900	3.4875e-01	2.9472e-01	8.4078e-02	1.2655e-01	6.5745e-03	2.3921e-04
26.124	5.8653e-01	3.8368e-01	1.0033e-01	1.4969e-01	8.2911e-03	3.2137e-04
24.597	7.8034e-01	4.9639e-01	1.1990e-01	1.7766e-01	1.0430e-02	4.2825e-04
23.268	9.7686e-01	6.2899e-01	1.4310e-01	2.0706e-01	1.2819e-02	5.5489e-04
22.100	1.0647e+00	7.7196e-01	1.7036e-01	2.3191e-01	1.5080e-02	6.8516e-04
21.062	1.0790e+00	9.2241e-01	2.0177e-01	2.5177e-01	1.7123e-02	8.1352e-04
20.134	8.8695e-01	1.0544e+00	2.3622e-01	2.7014e-01	1.9146e-02	9.4785e-04
19.298	7.8201e-01	1.1892e+00	2.7367e-01	2.8319e-01	2.0843e-02	1.0720e-03
18.540	3.5449e-01	1.2630e+00	3.1174e-01	2.7628e-01	2.1053e-02	1.1214e-03
17.848	-9.2035e-02	1.3390e+00	3.5321e-01	2.9564e-01	2.3257e-02	1.2799e-03
17.215	-4.0591e-01	1.3957e+00	3.9239e-01	2.7327e-01	2.2136e-02	1.2556e-03
16.633	-5.5557e-01	1.4473e+00	4.3228e-01	2.7031e-01	2.2480e-02	1.3114e-03
16.095	-1.0224e+00	1.4418e+00	4.7010e-01	2.5885e-01	2.2052e-02	1.3201e-03
15.596	-8.6842e-01	1.4793e+00	5.0586e-01	2.6415e-01	2.3015e-02	1.4115e-03
15.132	-1.0917e+00	1.4904e+00	5.4298e-01	2.6485e-01	2.3562e-02	1.4784e-03
14.699	-1.2276e+00	1.5004e+00	5.8142e-01	2.7174e-01	2.4659e-02	1.5806e-03
14.294	-1.3978e+00	1.4533e+00	6.1230e-01	2.5307e-01	2.3372e-02	1.5279e-03
13.914	-9.6077e-01	1.4997e+00	6.4267e-01	2.9803e-01	2.8000e-02	1.8652e-03
13.557	-1.5569e+00	1.4389e+00	6.7770e-01	2.5367e-01	2.4210e-02	1.6416e-03
13.221	-1.4373e+00	1.4346e+00	7.1096e-01	2.6808e-01	2.5991e-02	1.7924e-03
12.903	-1.6206e+00	1.4323e+00	7.4020e-01	2.6907e-01	2.6455e-02	1.8539e-03
12.603	-1.2797e+00	1.4486e+00	7.6373e-01	2.6335e-01	2.6274e-02	1.8700e-03
12.318	-8.6348e-01	1.4397e+00	7.8545e-01	2.5942e-01	2.6251e-02	1.8955e-03
12.048	-9.7388e-01	1.4247e+00	8.1690e-01	2.5279e-01	2.5934e-02	1.8994e-03
11.791	-1.2375e+00	1.4088e+00	8.4119e-01	2.6584e-01	2.7577e-02	2.0464e-03
11.546	-8.4382e-01	1.4485e+00	8.6568e-01	2.7657e-01	2.9078e-02	2.1867e-03
11.313	-8.7118e-01	1.4171e+00	8.8938e-01	2.8124e-01	2.9937e-02	2.2795e-03
11.090	-7.3635e-01	1.4220e+00	9.0839e-01	2.7100e-01	2.9167e-02	2.2482e-03
10.877	-5.9597e-01	1.3746e+00	9.2304e-01	2.5830e-01	2.8117e-02	2.1922e-03
