,bin0,bin1,bin2,bin3,bin4
43.6190,"[-3.5890460915003795, 0.0628706207765152, -0.05819823702181552, -0.015963651326365475, -0.02936214854442478]","[-3.5278849694980163, 0.043141092269560616, -0.015963651326365475, -0.0015388233393309816, -0.00810313606532367]","[-3.5047636107357976, 0.03818063286133512, -0.0015388233393309816, 0.005758902776807251, 0.002186666035273355]","[-3.4768330289635228, 0.04392700161860557, 0.005758902776807251, 0.015252532427029415, 0.010476266828891499]","[-3.42441431761738, 0.05086378746422278, 0.015252532427029415, 0.08067455132829042, 0.026564443093181594]"
38.9190,"[-3.3443432872050445, 0.06691151521622944, -0.06496527383830022, -0.018066801550160126, -0.03284516870811913]","[-3.2764699864492584, 0.043363830432627426, -0.018066801550160126, -0.0018411475775561735, -0.009121158960842075]","[-3.249337393938254, 0.039010297422249866, -0.0018411475775561735, 0.00638344055969741, 0.0023801708048359674]","[-3.219237338689982, 0.04449755231208081, 0.00638344055969741, 0.016952259854971428, 0.011672461206212145]","[-3.160783199623122, 0.053166925169246156, 0.016952259854971428, 0.09038309941564346, 0.029676529410652235]"
31.1370,"[-2.87380004415053, 0.07647309162230913, -0.08046630717851073, -0.022822420914490486, -0.04089367737761453]","[-2.7827259704625984, 0.04721205942055832, -0.022822420914490486, -0.0026423046953717336, -0.01151452648889417]","[-2.7452086515649863, 0.0442311673369077, -0.0026423046953717336, 0.007792263374589168, 0.002754861688950889]","[-2.7049898673204456, 0.0511890629295421, 0.007792263374589168, 0.02077226877142618, 0.014375884749519115]","[-2.628226469990077, 0.06543708650604847, 0.02077226877142618, 0.11282618131423129, 0.03679258867410773]"
30.0000,"[-2.794611689480109, 0.07900143010365866, -0.08337278409927264, -0.023709458684389024, -0.0424133477182514]","[-2.6973907352219113, 0.04889224074579423, -0.023709458684389024, -0.0028101410439396353, -0.01197288142141863]","[-2.6571780539230754, 0.04601242369274959, -0.0028101410439396353, 0.008067356461583632, 0.002816202917721528]","[-2.613677755716505, 0.053849682449678186, 0.008067356461583632, 0.021482284906213536, 0.014876883738418103]","[-2.5320527307670426, 0.06968467615355857, 0.021482284906213536, 0.11706437312190054, 0.03812650891464259]"
27.9000,"[-2.6346969602614623, 0.08625576739973578, -0.08933786450833442, -0.025616769142861557, -0.045531734488196564]","[-2.5235339212190593, 0.05289715475384135, -0.025616769142861557, -0.0032284629157945614, -0.012914716692699757]","[-2.476582151137684, 0.05100049706227031, -0.0032284629157945614, 0.008640612690768408, 0.002939379923123741]","[-2.4262936691704406, 0.061120171397577125, 0.008640612690768408, 0.022921798612548554, 0.015904553705528915]","[-2.3321183515268413, 0.0799018823536104, 0.022921798612548554, 0.1257440632277818, 0.04086467685780745]"
26.1240,"[-2.482440674688026, 0.09528523156505049, -0.09509850182700955, -0.02717843699739796, -0.04855538383933571]","[-2.3548421721098713, 0.05936863907328308, -0.02717843699739796, -0.0036468985627754135, -0.013837728779948034]","[-2.2983485736807694, 0.056814457694368554, -0.0036468985627754135, 0.00918887269781956, 0.0030418161890712453]","[-2.24120372317221, 0.06924601308494317, 0.00918887269781956, 0.024435735957991048, 0.016883410473195845]","[-2.1320931355423367, 0.09201034553704898, 0.024435735957991048, 0.1341282883277841, 0.04349946686410847]"
24.5970,"[-2.332028031297289, 0.10879767748927928, -0.10070167961104813, -0.02877571302133845, -0.05148392722701873]","[-2.187414624163808, 0.06637162403858957, -0.02877571302133845, -0.003873209570731398, -0.01473513485301616]","[-2.1198148971811626, 0.06385311839236964, -0.003873209570731398, 0.009539851508973728, 0.003136514300296102]","[-2.0563745982776114, 0.07457634841518862, 0.009539851508973728, 0.02599808329617719, 0.017826866744776727]","[-1.9291461334705313, 0.10135525409092747, 0.02599808329617719, 0.14222722890258965, 0.04604878582442317]"
23.2680,"[-2.183620562236523, 0.12080739193739318, -0.10619144529501708, -0.030426562660850767, -0.05432300815307113]","[-2.019902306508665, 0.07288633616317765, -0.030426562660850767, -0.004272507348124773, -0.015608851014690792]","[-1.94326437888976, 0.06957244149904665, -0.004272507348124773, 0.010054477621565232, 0.0032204567545646053]","[-1.8717015372615018, 0.08107282966002483, 0.010054477621565232, 0.027379679997308018, 0.018740284130326336]","[-1.7313993097158218, 0.10938144769135259, 0.027379679997308018, 0.15003934576995473, 0.04850998578965367]"
22.1000,"[-2.0356723395637872, 0.13399995018568767, -0.11152902774497589, -0.032051328767456436, -0.05708746783999458]","[-1.8527908238756163, 0.07778281953530868, -0.032051328767456436, -0.00468074822103486, -0.01646740943242442]","[-1.769141438250282, 0.07343388665545258, -0.00468074822103486, 0.010568745152210861, 0.0032870407368391485]","[-1.6906495771090508, 0.08404351877061979, 0.010568745152210861, 0.02862238975500424, 0.019609637536882222]","[-1.544010195540967, 0.1131745203156356, 0.02862238975500424, 0.15763449224908588, 0.050872356788357796]"
21.0620,"[-1.8885646568918582, 0.1455956067701527, -0.11669549967479054, -0.03363896173073552, -0.059757395775658244]","[-1.6895258906616788, 0.08008105465994841, -0.03363896173073552, -0.005068575023286099, -0.017291145307342777]","[-1.6017808704187522, 0.07507007265800765, -0.005068575023286099, 0.01108170413301484, 0.0033580212379550577]","[-1.5156555592736995, 0.08303995263690177, 0.01108170413301484, 0.029905083796995118, 0.020455369377005293]","[-1.3652981208477533, 0.11296159606599976, 0.029905083796995118, 0.16490103904216505, 0.05314503972925596]"
